sample_index,ingress_sequence,kind,control,action,value,pulse_index,pulse_phase
0,1,accepted_control,ENERGY,UNSUPPORTED,0.68000000000000005,0,0
0,2,accepted_control,TICK,UNSUPPORTED,0,0,0
0,3,accepted_control,PULSE,UNSUPPORTED,2,2,0
0,4,accepted_control,BREAK,UNSUPPORTED,0,2,0
0,0,pulse_onset,ENERGY,UNSUPPORTED,0,2,4.1666666666666665e-05
24000,0,pulse_onset,ENERGY,UNSUPPORTED,0,2,4.1666667230882006e-05
48000,5,accepted_control,BREAK,UNSUPPORTED,0,2,1.1284306822290091e-12
48000,0,pulse_onset,ENERGY,UNSUPPORTED,0,2,4.1666667795097348e-05
72000,0,pulse_onset,ENERGY,UNSUPPORTED,0,2,4.1666668359312689e-05
96000,6,accepted_control,BREAK,UNSUPPORTED,0,2,2.2568613644580182e-12
96000,0,pulse_onset,ENERGY,UNSUPPORTED,0,2,4.166666892352803e-05
120000,0,pulse_onset,ENERGY,UNSUPPORTED,0,2,4.1666669487743371e-05
144000,0,pulse_onset,ENERGY,UNSUPPORTED,0,2,4.1666670051958712e-05
168000,0,pulse_onset,ENERGY,UNSUPPORTED,0,2,4.1666670616174053e-05
192000,7,accepted_control,PULSE,UNSUPPORTED,3,3,4.5137227289160364e-12
192000,8,accepted_control,BREAK,UNSUPPORTED,0,3,4.5137227289160364e-12
192000,0,pulse_onset,ENERGY,UNSUPPORTED,0,3,8.3333337847056059e-05
204000,0,pulse_onset,ENERGY,UNSUPPORTED,0,3,8.3333337753575281e-05
216000,0,pulse_onset,ENERGY,UNSUPPORTED,0,3,8.3333337660094502e-05
228000,0,pulse_onset,ENERGY,UNSUPPORTED,0,3,8.3333337566613723e-05
240000,9,accepted_control,BREAK,UNSUPPORTED,0,3,4.1397996142222837e-12
240000,0,pulse_onset,ENERGY,UNSUPPORTED,0,3,8.3333337473132945e-05
252000,0,pulse_onset,ENERGY,UNSUPPORTED,0,3,8.3333337379652166e-05
264000,0,pulse_onset,ENERGY,UNSUPPORTED,0,3,8.3333337286171387e-05
276000,0,pulse_onset,ENERGY,UNSUPPORTED,0,3,8.3333337192690609e-05
288000,10,accepted_control,BREAK,UNSUPPORTED,0,3,3.765876499528531e-12
288000,0,pulse_onset,ENERGY,UNSUPPORTED,0,3,8.333333709920983e-05
300000,0,pulse_onset,ENERGY,UNSUPPORTED,0,3,8.3333337005729051e-05
312000,0,pulse_onset,ENERGY,UNSUPPORTED,0,3,8.3333336912248273e-05
324000,0,pulse_onset,ENERGY,UNSUPPORTED,0,3,8.3333336818767494e-05
336000,0,pulse_onset,ENERGY,UNSUPPORTED,0,3,8.3333336725286715e-05
348000,0,pulse_onset,ENERGY,UNSUPPORTED,0,3,8.3333336631805937e-05
360000,0,pulse_onset,ENERGY,UNSUPPORTED,0,3,8.3333336538325158e-05
372000,0,pulse_onset,ENERGY,UNSUPPORTED,0,3,8.3333336444844379e-05
384000,11,accepted_control,PULSE,UNSUPPORTED,5,5,3.0180302701410255e-12
384000,12,accepted_control,BREAK,UNSUPPORTED,0,5,3.0180302701410255e-12
384000,0,pulse_onset,ENERGY,UNSUPPORTED,0,5,0.00016666666968469693
390000,0,pulse_onset,ENERGY,UNSUPPORTED,0,5,0.0001666666696078695
396000,0,pulse_onset,ENERGY,UNSUPPORTED,0,5,0.00016666666953104206
402000,0,pulse_onset,ENERGY,UNSUPPORTED,0,5,0.00016666666945421463
408000,0,pulse_onset,ENERGY,UNSUPPORTED,0,5,0.0001666666693773872
414000,0,pulse_onset,ENERGY,UNSUPPORTED,0,5,0.00016666666930055976
420000,0,pulse_onset,ENERGY,UNSUPPORTED,0,5,0.00016666666922373233
426000,0,pulse_onset,ENERGY,UNSUPPORTED,0,5,0.0001666666691469049
432000,13,accepted_control,BREAK,UNSUPPORTED,0,5,2.4034108037085389e-12
432000,0,pulse_onset,ENERGY,UNSUPPORTED,0,5,0.00016666666907007746
438000,0,pulse_onset,ENERGY,UNSUPPORTED,0,5,0.00016666666899325003
444000,0,pulse_onset,ENERGY,UNSUPPORTED,0,5,0.0001666666689164226
450000,0,pulse_onset,ENERGY,UNSUPPORTED,0,5,0.00016666666883959516
456000,0,pulse_onset,ENERGY,UNSUPPORTED,0,5,0.00016666666876276773
462000,0,pulse_onset,ENERGY,UNSUPPORTED,0,5,0.0001666666686859403
468000,0,pulse_onset,ENERGY,UNSUPPORTED,0,5,0.00016666666860911286
474000,0,pulse_onset,ENERGY,UNSUPPORTED,0,5,0.00016666666853228543
480000,14,accepted_control,BREAK,UNSUPPORTED,0,5,1.7887913372760522e-12
480000,0,pulse_onset,ENERGY,UNSUPPORTED,0,5,0.000166666668455458
486000,0,pulse_onset,ENERGY,UNSUPPORTED,0,5,0.00016666666837863057
492000,0,pulse_onset,ENERGY,UNSUPPORTED,0,5,0.00016666666830180313
498000,0,pulse_onset,ENERGY,UNSUPPORTED,0,5,0.0001666666682249757
504000,0,pulse_onset,ENERGY,UNSUPPORTED,0,5,0.00016666666814814827
510000,0,pulse_onset,ENERGY,UNSUPPORTED,0,5,0.00016666666807132083
