sample_index,ingress_sequence,kind,control,action,value,active_rate_index,active_holes,scheduler_error,effective_edge_frames,cut
0,0,accepted_control,TENSION,UNSUPPORTED,0.72000002861022949,0,3,0,192,0
0,1,accepted_control,SHADOW,UNSUPPORTED,0,0,3,0,192,0
0,2,accepted_control,HOLES,UNSUPPORTED,3,0,3,0,192,0
0,3,accepted_control,CUT,UNSUPPORTED,0,0,3,0,192,0
0,0,beat_boundary,TEMPO,UNSUPPORTED,120,0,3,0,192,0
0,0,rhythm_commit,CUT,UNSUPPORTED,0,0,3,0,192,0
24000,0,beat_boundary,TEMPO,UNSUPPORTED,120,0,3,0,192,0
48000,0,beat_boundary,TEMPO,UNSUPPORTED,120,0,3,0,192,0
72000,0,beat_boundary,TEMPO,UNSUPPORTED,120,0,3,0,192,0
96000,0,beat_boundary,TEMPO,UNSUPPORTED,120,0,3,0,192,0
120000,0,beat_boundary,TEMPO,UNSUPPORTED,120,0,3,0,192,0
144000,0,beat_boundary,TEMPO,UNSUPPORTED,120,0,3,0,192,0
168000,0,beat_boundary,TEMPO,UNSUPPORTED,120,0,3,0,192,0
192000,4,accepted_control,CUT,UNSUPPORTED,1,0,3,0,192,0
192000,0,beat_boundary,TEMPO,UNSUPPORTED,120,0,3,0,192,0
192000,0,rhythm_commit,CUT,UNSUPPORTED,1,1,3,0,192,0
192000,0,opportunity,CUT,UNSUPPORTED,0.5,1,3,0,192,1
210000,0,opportunity,CUT,UNSUPPORTED,0.5,1,3,0,192,0
216000,0,beat_boundary,TEMPO,UNSUPPORTED,120,1,3,0,192,0
240000,0,beat_boundary,TEMPO,UNSUPPORTED,120,1,3,0,192,0
240000,0,opportunity,CUT,UNSUPPORTED,0.5,1,3,0,192,1
258000,0,opportunity,CUT,UNSUPPORTED,0.5,1,3,0,192,0
264000,0,beat_boundary,TEMPO,UNSUPPORTED,120,1,3,0,192,0
288000,0,beat_boundary,TEMPO,UNSUPPORTED,120,1,3,0,192,0
288000,0,opportunity,CUT,UNSUPPORTED,0.5,1,3,0,192,1
