sample_index,ingress_sequence,kind,control,action,value,active_rate_index,active_holes,scheduler_error,effective_edge_frames,cut
0,0,accepted_control,CUT,UNSUPPORTED,0,0,3,0,192,0
0,1,accepted_control,TENSION,UNSUPPORTED,0.10000000149011612,0,3,0,192,0
0,0,beat_boundary,TEMPO,UNSUPPORTED,120,0,3,0,192,0
24000,0,beat_boundary,TEMPO,UNSUPPORTED,120,0,3,0,192,0
48000,0,beat_boundary,TEMPO,UNSUPPORTED,120,0,3,0,192,0
72000,0,beat_boundary,TEMPO,UNSUPPORTED,120,0,3,0,192,0
96000,2,accepted_control,TENSION,UNSUPPORTED,0.30000001192092896,0,3,0,192,0
96000,0,beat_boundary,TEMPO,UNSUPPORTED,120,0,3,0,192,0
120000,0,beat_boundary,TEMPO,UNSUPPORTED,120,0,3,0,192,0
144000,0,beat_boundary,TEMPO,UNSUPPORTED,120,0,3,0,192,0
168000,0,beat_boundary,TEMPO,UNSUPPORTED,120,0,3,0,192,0
192000,3,accepted_control,TENSION,UNSUPPORTED,0.5,0,3,0,192,0
192000,0,beat_boundary,TEMPO,UNSUPPORTED,120,0,3,0,192,0
216000,0,beat_boundary,TEMPO,UNSUPPORTED,120,0,3,0,192,0
240000,0,beat_boundary,TEMPO,UNSUPPORTED,120,0,3,0,192,0
264000,0,beat_boundary,TEMPO,UNSUPPORTED,120,0,3,0,192,0
288000,4,accepted_control,TENSION,UNSUPPORTED,0.69999998807907104,0,3,0,192,0
288000,0,beat_boundary,TEMPO,UNSUPPORTED,120,0,3,0,192,0
312000,0,beat_boundary,TEMPO,UNSUPPORTED,120,0,3,0,192,0
336000,0,beat_boundary,TEMPO,UNSUPPORTED,120,0,3,0,192,0
360000,0,beat_boundary,TEMPO,UNSUPPORTED,120,0,3,0,192,0
384000,5,accepted_control,TENSION,UNSUPPORTED,0.89999997615814209,0,3,0,192,0
384000,0,beat_boundary,TEMPO,UNSUPPORTED,120,0,3,0,192,0
408000,0,beat_boundary,TEMPO,UNSUPPORTED,120,0,3,0,192,0
432000,0,beat_boundary,TEMPO,UNSUPPORTED,120,0,3,0,192,0
456000,0,beat_boundary,TEMPO,UNSUPPORTED,120,0,3,0,192,0
480000,6,accepted_control,TENSION,UNSUPPORTED,0.10000000149011612,0,3,0,192,0
480000,0,beat_boundary,TEMPO,UNSUPPORTED,120,0,3,0,192,0
504000,0,beat_boundary,TEMPO,UNSUPPORTED,120,0,3,0,192,0
528000,0,beat_boundary,TEMPO,UNSUPPORTED,120,0,3,0,192,0
552000,0,beat_boundary,TEMPO,UNSUPPORTED,120,0,3,0,192,0
576000,0,beat_boundary,TEMPO,UNSUPPORTED,120,0,3,0,192,0
600000,0,beat_boundary,TEMPO,UNSUPPORTED,120,0,3,0,192,0
624000,0,beat_boundary,TEMPO,UNSUPPORTED,120,0,3,0,192,0
648000,0,beat_boundary,TEMPO,UNSUPPORTED,120,0,3,0,192,0
672000,0,beat_boundary,TEMPO,UNSUPPORTED,120,0,3,0,192,0
696000,0,beat_boundary,TEMPO,UNSUPPORTED,120,0,3,0,192,0
720000,0,beat_boundary,TEMPO,UNSUPPORTED,120,0,3,0,192,0
744000,0,beat_boundary,TEMPO,UNSUPPORTED,120,0,3,0,192,0
768000,0,beat_boundary,TEMPO,UNSUPPORTED,120,0,3,0,192,0
792000,0,beat_boundary,TEMPO,UNSUPPORTED,120,0,3,0,192,0
816000,0,beat_boundary,TEMPO,UNSUPPORTED,120,0,3,0,192,0
840000,0,beat_boundary,TEMPO,UNSUPPORTED,120,0,3,0,192,0
864000,0,beat_boundary,TEMPO,UNSUPPORTED,120,0,3,0,192,0
888000,0,beat_boundary,TEMPO,UNSUPPORTED,120,0,3,0,192,0
912000,0,beat_boundary,TEMPO,UNSUPPORTED,120,0,3,0,192,0
936000,0,beat_boundary,TEMPO,UNSUPPORTED,120,0,3,0,192,0
960000,0,beat_boundary,TEMPO,UNSUPPORTED,120,0,3,0,192,0
984000,0,beat_boundary,TEMPO,UNSUPPORTED,120,0,3,0,192,0
1008000,0,beat_boundary,TEMPO,UNSUPPORTED,120,0,3,0,192,0
1032000,0,beat_boundary,TEMPO,UNSUPPORTED,120,0,3,0,192,0
1056000,7,accepted_control,TENSION,UNSUPPORTED,0.89999997615814209,0,3,0,192,0
1056000,0,beat_boundary,TEMPO,UNSUPPORTED,120,0,3,0,192,0
1080000,0,beat_boundary,TEMPO,UNSUPPORTED,120,0,3,0,192,0
1104000,0,beat_boundary,TEMPO,UNSUPPORTED,120,0,3,0,192,0
1128000,0,beat_boundary,TEMPO,UNSUPPORTED,120,0,3,0,192,0
1152000,0,beat_boundary,TEMPO,UNSUPPORTED,120,0,3,0,192,0
1176000,0,beat_boundary,TEMPO,UNSUPPORTED,120,0,3,0,192,0
1200000,0,beat_boundary,TEMPO,UNSUPPORTED,120,0,3,0,192,0
1224000,0,beat_boundary,TEMPO,UNSUPPORTED,120,0,3,0,192,0
1248000,0,beat_boundary,TEMPO,UNSUPPORTED,120,0,3,0,192,0
1272000,0,beat_boundary,TEMPO,UNSUPPORTED,120,0,3,0,192,0
1296000,0,beat_boundary,TEMPO,UNSUPPORTED,120,0,3,0,192,0
1320000,0,beat_boundary,TEMPO,UNSUPPORTED,120,0,3,0,192,0
1344000,0,beat_boundary,TEMPO,UNSUPPORTED,120,0,3,0,192,0
1368000,0,beat_boundary,TEMPO,UNSUPPORTED,120,0,3,0,192,0
1392000,0,beat_boundary,TEMPO,UNSUPPORTED,120,0,3,0,192,0
1416000,0,beat_boundary,TEMPO,UNSUPPORTED,120,0,3,0,192,0
1440000,0,beat_boundary,TEMPO,UNSUPPORTED,120,0,3,0,192,0
1464000,0,beat_boundary,TEMPO,UNSUPPORTED,120,0,3,0,192,0
1488000,0,beat_boundary,TEMPO,UNSUPPORTED,120,0,3,0,192,0
1512000,0,beat_boundary,TEMPO,UNSUPPORTED,120,0,3,0,192,0
