sample_index,ingress_sequence,kind,control,action,value,active_rate_index,active_holes,scheduler_error,effective_edge_frames,cut
0,0,accepted_control,TENSION,UNSUPPORTED,0.72000002861022949,0,3,0,192,0
0,1,accepted_control,SHADOW,UNSUPPORTED,0.80000001192092896,0,3,0,192,0
0,2,accepted_control,UNDER,UNSUPPORTED,2,0,3,0,192,0
0,3,accepted_control,HOLES,UNSUPPORTED,3,0,3,0,192,0
0,4,accepted_control,CUT,UNSUPPORTED,0,0,3,0,192,0
0,0,beat_boundary,TEMPO,UNSUPPORTED,120,0,3,0,192,0
0,0,rhythm_commit,CUT,UNSUPPORTED,0,0,3,0,192,0
24000,0,beat_boundary,TEMPO,UNSUPPORTED,120,0,3,0,192,0
48000,0,beat_boundary,TEMPO,UNSUPPORTED,120,0,3,0,192,0
72000,0,beat_boundary,TEMPO,UNSUPPORTED,120,0,3,0,192,0
96000,0,beat_boundary,TEMPO,UNSUPPORTED,120,0,3,0,192,0
120000,0,beat_boundary,TEMPO,UNSUPPORTED,120,0,3,0,192,0
144000,0,beat_boundary,TEMPO,UNSUPPORTED,120,0,3,0,192,0
168000,0,beat_boundary,TEMPO,UNSUPPORTED,120,0,3,0,192,0
192000,5,accepted_control,CUT,UNSUPPORTED,1,0,3,0,192,0
192000,0,beat_boundary,TEMPO,UNSUPPORTED,120,0,3,0,192,0
192000,0,rhythm_commit,CUT,UNSUPPORTED,1,1,3,0,192,0
192000,0,opportunity,CUT,UNSUPPORTED,0.5,1,3,3,192,0
216000,0,beat_boundary,TEMPO,UNSUPPORTED,120,1,3,3,192,0
240000,0,beat_boundary,TEMPO,UNSUPPORTED,120,1,3,3,192,0
240000,0,opportunity,CUT,UNSUPPORTED,0.5,1,3,6,192,0
264000,0,beat_boundary,TEMPO,UNSUPPORTED,120,1,3,6,192,0
288000,0,beat_boundary,TEMPO,UNSUPPORTED,120,1,3,6,192,0
288000,0,opportunity,CUT,UNSUPPORTED,0.5,1,3,1,192,1
312000,0,beat_boundary,TEMPO,UNSUPPORTED,120,1,3,1,192,1
336000,0,beat_boundary,TEMPO,UNSUPPORTED,120,1,3,1,192,1
336000,0,opportunity,CUT,UNSUPPORTED,0.5,1,3,4,192,0
360000,0,beat_boundary,TEMPO,UNSUPPORTED,120,1,3,4,192,0
384000,6,accepted_control,CUT,UNSUPPORTED,2,1,3,4,192,0
384000,0,beat_boundary,TEMPO,UNSUPPORTED,120,1,3,4,192,0
384000,0,rhythm_commit,CUT,UNSUPPORTED,2,2,3,4,192,0
384000,0,opportunity,CUT,UNSUPPORTED,1,2,3,7,192,0
408000,0,beat_boundary,TEMPO,UNSUPPORTED,120,2,3,7,192,0
408000,0,opportunity,CUT,UNSUPPORTED,1,2,3,2,192,1
432000,0,beat_boundary,TEMPO,UNSUPPORTED,120,2,3,2,192,1
432000,0,opportunity,CUT,UNSUPPORTED,1,2,3,5,192,0
456000,0,beat_boundary,TEMPO,UNSUPPORTED,120,2,3,5,192,0
456000,0,opportunity,CUT,UNSUPPORTED,1,2,3,0,192,1
480000,0,beat_boundary,TEMPO,UNSUPPORTED,120,2,3,0,192,1
480000,0,opportunity,CUT,UNSUPPORTED,1,2,3,3,192,0
504000,0,beat_boundary,TEMPO,UNSUPPORTED,120,2,3,3,192,0
504000,0,opportunity,CUT,UNSUPPORTED,1,2,3,6,192,0
528000,0,beat_boundary,TEMPO,UNSUPPORTED,120,2,3,6,192,0
528000,0,opportunity,CUT,UNSUPPORTED,1,2,3,1,192,1
552000,0,beat_boundary,TEMPO,UNSUPPORTED,120,2,3,1,192,1
